ActivityName,Description,Website,ContactName,Email,Address,Category,AffiliatedWithCollege,College,RequiresDues,SkillLevel
Vibes Forum,"Students gather here to from hip hop to contemporary — we celebrate dance. Our discussions are informal, engaging, and open-minded.",https://bentley-jones.com/,Alexis Stephenson,andrewhicks@clark.net,"0916 Sarah Summit, Boston, MA 02114",Dance,True,Harvard,True,Beginner
Builders Coalition,"Be part of a community that from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",https://anderson.biz/,Jonathan Marquez,tsimmons@adams.com,"9220 Melissa Manors, Boston, MA 02215",Dance,True,University of Massachusetts Boston,True,Advanced
Creators Board,"This group is designed to a performance group dedicated to diverse dance styles. Open to all students, regardless of background or experience.",https://www.may.com/,Carrie Martinez,osmith@schmidt.info,"18420 Angel Island, Boston, MA 02116",Dance,True,Boston University,False,Advanced
Voices Guild,"A space to from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",http://www.gardner.com/,Christopher Drake,scottjeff@patel-hines.info,"0154 Timothy Springs, Boston, MA 02215",Dance,True,Boston University,True,Beginner
Dance Guild,"Our mission is to a performance group dedicated to diverse dance styles. Open to all students, regardless of background or experience.",https://www.ellis.com/,Charles Cain,ruizmarcus@salinas.org,"6734 Carter Squares, Boston, MA 02110",Dance,False,Harvard,False,Intermediate
Exchange Club,We aim to open to all students interested in movement and choreography. Join us weekly as we grow our shared passion.,https://morrow.net/,Amanda Webb,chriscervantes@moore.net,"366 Fleming Fork, Boston, MA 02118",Dance,True,Northeastern,True,Intermediate
Dance Alliance,Join us as we from hip hop to contemporary — we celebrate dance. Connect with peers through regular meetups and events.,https://king.com/,Michael Thomas,brobertson@hickman.com,"54228 Cruz Mill, Boston, MA 02116",Dance,False,Boston College,False,Intermediate
Movement Network,Our mission is to a performance group dedicated to diverse dance styles. Connect with peers through regular meetups and events.,http://wells.com/,Mike Shelton,kimberlyharris@keller.com,"129 Blackwell Junctions, Boston, MA 02109",Dance,False,Boston University,False,Advanced
Builders of Dance,"A space to open to all students interested in movement and choreography. Open to all students, regardless of background or experience.",https://www.king.com/,Nancy Benitez,johncasey@cook-hill.com,"510 Carlos Rue, Boston, MA 02116",Dance,True,Northeastern,True,Beginner
Thinkers of Dance,"An opportunity to open to all students interested in movement and choreography. Open to all students, regardless of background or experience.",https://schultz-hill.com/,Robert Allen,gabriel01@stanley-fisher.com,"1488 White Dam, Boston, MA 02215",Dance,False,University of Massachusetts Boston,True,Beginner
Dance Forum,"Be part of a community that from hip hop to contemporary — we celebrate dance. Our discussions are informal, engaging, and open-minded.",https://www.benjamin-patterson.com/,Shane Davis DDS,zacharyballard@mcguire.biz,"46669 Christina Meadows, Boston, MA 02108",Dance,True,Harvard,True,Beginner
Thinkers Union,Join us as we a performance group dedicated to diverse dance styles. We welcome everyone to contribute their unique perspective.,https://www.morris.info/,Jennifer Lee,ashley00@johnson.info,"38089 Marshall Forges, Boston, MA 02109",Dance,False,University of Massachusetts Boston,False,Advanced
Dance Society,Be part of a community that open to all students interested in movement and choreography. We aim to build community through tradition and practice.,https://www.jackson-richardson.com/,Anna Clark,andrewmartin@ford-velez.com,"804 Scott Ports, Boston, MA 02114",Dance,True,Harvard,True,Beginner
Thinkers Team,"Be part of a community that a performance group dedicated to diverse dance styles. Open to all students, regardless of background or experience.",http://www.jarvis-williams.com/,Andre Gonzalez,austinoliver@weber-jones.biz,"589 Anderson Cliff, Boston, MA 02114",Dance,False,Tufts University,True,Advanced
Dance Network,Be part of a community that a performance group dedicated to diverse dance styles. Connect with peers through regular meetups and events.,https://www.jackson.net/,William Burke,erikacampbell@stafford.com,"37522 Perez Canyon, Boston, MA 02109",Dance,True,Tufts University,True,Advanced
Pulse Team,"Join us as we from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",https://thomas.com/,Alyssa Fernandez,stacygarrett@gamble.com,"5308 Mason Prairie, Boston, MA 02109",Dance,False,Boston College,False,Intermediate
Dance Union,Our mission is to open to all students interested in movement and choreography. We welcome everyone to contribute their unique perspective.,http://www.allen.org/,Craig Brown,pedromclean@henderson.com,"640 Darin Spur, Boston, MA 02113",Dance,True,Northeastern,True,Advanced
Exchange of Dance,"We aim to a performance group dedicated to diverse dance styles. Open to all students, regardless of background or experience.",http://www.lamb.com/,Jill Nguyen,karlasnyder@may.com,"419 Mendoza Centers, Boston, MA 02110",Dance,True,Massachusetts Institute of Technology,False,Beginner
Movement of Dance,"Our mission is to open to all students interested in movement and choreography. Open to all students, regardless of background or experience.",https://brown-johnson.net/,Richard Boyd,lnguyen@nguyen.com,"358 Casey Camp, Boston, MA 02114",Dance,True,University of Massachusetts Boston,False,Beginner
Sessions of Dance,"Students gather here to from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",https://www.chavez.net/,Joann Hawkins,jacquelineberger@thompson-smith.com,"57344 Raymond Oval, Boston, MA 02108",Dance,True,Harvard,True,Beginner
Voices of Dance,"An opportunity to from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",http://jackson.com/,Tiffany Harris,writter@west.com,"97616 Porter Points, Boston, MA 02113",Dance,True,Northeastern,False,Beginner
Explorers Board,"A space to from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",http://brown.com/,Ryan Cobb,harrisstephanie@ayers-montgomery.biz,"7892 Dunn Forest, Boston, MA 02215",Dance,False,University of Massachusetts Boston,False,Advanced
Dance Club,Be part of a community that a performance group dedicated to diverse dance styles. Join us weekly as we grow our shared passion.,http://rogers-barry.org/,Harold Wilkerson,tinajohnson@mathis.net,"624 William Squares, Boston, MA 02118",Dance,False,University of Massachusetts Boston,True,Intermediate
Exchange Forum,"Join us as we a performance group dedicated to diverse dance styles. Our discussions are informal, engaging, and open-minded.",https://huffman.net/,Phyllis Hill,toddcohen@mooney-rodriguez.com,"6484 Edwards Trace, Boston, MA 02109",Dance,True,Tufts University,True,Beginner
Voices Forum,"Our club encourages students to from hip hop to contemporary — we celebrate dance. Our discussions are informal, engaging, and open-minded.",http://bradley.com/,Mrs. Jennifer Arroyo,michaelchaney@williams-gonzalez.com,"4819 Lisa Isle, Boston, MA 02113",Dance,True,Harvard,False,Advanced
Explorers of Dance,"This group is designed to from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",http://morris-matthews.info/,Karl Perez,austin54@smith.com,"97441 Jones Plain, Boston, MA 02118",Dance,True,Boston College,True,Intermediate
Builders Club,Students gather here to a performance group dedicated to diverse dance styles. Join us weekly as we grow our shared passion.,http://www.orozco.biz/,Linda Foster,csmith@schmidt.com,"383 Douglas Via, Boston, MA 02116",Dance,False,Harvard,False,Intermediate
Dreamers Collective,Be part of a community that open to all students interested in movement and choreography. We welcome everyone to contribute their unique perspective.,http://www.green-stephens.com/,Brianna Berry,maria14@simmons.com,"4020 Diana Locks, Boston, MA 02113",Dance,False,Massachusetts Institute of Technology,True,Beginner
Builders Collective,We come together to from hip hop to contemporary — we celebrate dance. We welcome everyone to contribute their unique perspective.,https://www.thomas-farmer.com/,Joshua Wagner,erikamullen@ross.net,"39989 Johnson Cape, Boston, MA 02108",Dance,True,Boston University,True,Intermediate
Minds Society,Our mission is to from hip hop to contemporary — we celebrate dance. We aim to build community through tradition and practice.,https://zimmerman.com/,David Tanner,phernandez@smith.net,"180 Alexandra Square, Boston, MA 02215",Dance,True,Massachusetts Institute of Technology,False,Advanced
Movement Studio,"Join us as we open to all students interested in movement and choreography. Open to all students, regardless of background or experience.",http://huynh-guzman.biz/,Kara Harrison,wrobinson@hill.biz,"470 Tracy Ports, Boston, MA 02118",Dance,False,Tufts University,True,Advanced
Pulse Collective,This group is designed to a performance group dedicated to diverse dance styles. We welcome everyone to contribute their unique perspective.,https://www.morris-miller.com/,Jordan Malone,brownkimberly@phillips.info,"13829 Hunter Passage, Boston, MA 02215",Dance,False,Northeastern,False,Advanced
Dance Studio,"Our mission is to from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",http://cruz.org/,Barbara Meadows,bryantammy@valentine.info,"728 Alexander Green, Boston, MA 02108",Dance,True,Massachusetts Institute of Technology,True,Beginner
Crew Club,Students gather here to open to all students interested in movement and choreography. Join us weekly as we grow our shared passion.,http://www.goodwin-cook.com/,Renee Scott,hjensen@delacruz.com,"38444 Brian Valleys, Boston, MA 02215",Dance,True,Northeastern,False,Intermediate
Dance Circle,"We come together to a performance group dedicated to diverse dance styles. Our discussions are informal, engaging, and open-minded.",https://www.wu.com/,Elizabeth Sanchez,joseph18@hester.com,"8324 Garcia Drive, Boston, MA 02110",Dance,True,Massachusetts Institute of Technology,False,Beginner
Explorers Studio,"A space to a performance group dedicated to diverse dance styles. Open to all students, regardless of background or experience.",http://joseph.com/,Jeffrey Martinez,mark87@owen-burke.biz,"84790 Berry Islands, Boston, MA 02116",Dance,True,University of Massachusetts Boston,True,Intermediate
Dance Initiative,"Be part of a community that open to all students interested in movement and choreography. Open to all students, regardless of background or experience.",http://www.white.org/,Christina Schmidt,lharris@davis.com,"84947 Vega Shore, Boston, MA 02113",Dance,False,Tufts University,False,Intermediate
Roots of Dance,"A space to a performance group dedicated to diverse dance styles. Open to all students, regardless of background or experience.",https://www.hall.com/,Autumn Hill,vfrancis@moore-bailey.biz,"10598 Nathaniel Trace, Boston, MA 02115",Dance,False,University of Massachusetts Boston,False,Advanced
Dance Collective,A space to open to all students interested in movement and choreography. We welcome everyone to contribute their unique perspective.,https://lopez.info/,Catherine Adams,parkerjason@anderson.com,"1490 Justin Inlet, Boston, MA 02114",Dance,False,Boston College,False,Advanced
Minds of Dance,"A space to from hip hop to contemporary — we celebrate dance. Open to all students, regardless of background or experience.",https://www.fernandez.com/,Corey Page,andreawright@graves.com,"4151 Lisa Ways, Boston, MA 02110",Dance,False,University of Massachusetts Boston,False,Intermediate
Dance Team,"This group is designed to open to all students interested in movement and choreography. Open to all students, regardless of background or experience.",https://chen.com/,Thomas Phelps,michaelcontreras@bradshaw.com,"62924 Moss Trafficway, Boston, MA 02111",Dance,True,Harvard,True,Intermediate
Dreamers of Dance,"Join us as we a performance group dedicated to diverse dance styles. Open to all students, regardless of background or experience.",http://www.howard-robinson.com/,Jeremy Melton,icoleman@brown.com,"3293 Lee Branch, Boston, MA 02113",Dance,True,University of Massachusetts Boston,False,Beginner
Minds Board,"Be part of a community that a performance group dedicated to diverse dance styles. Open to all students, regardless of background or experience.",https://davis.org/,Scott Fleming,craigcisneros@huff.com,"49697 Brewer Light, Boston, MA 02109",Dance,True,Massachusetts Institute of Technology,False,Beginner
Thinkers Circle,"An opportunity to a performance group dedicated to diverse dance styles. Our discussions are informal, engaging, and open-minded.",http://www.malone.com/,Kara Poole,edwardsmichelle@hunt.info,"1214 Rhodes Courts, Boston, MA 02111",Dance,False,University of Massachusetts Boston,True,Beginner
Sessions Guild,"Students gather here to promoting live music and original student work. Open to all students, regardless of background or experience.",https://jackson.org/,Susan Thomas,amandawilson@harding.com,"19267 Hannah Corners, Boston, MA 02111",Music,False,Massachusetts Institute of Technology,False,Beginner
Thinkers of Music,"A space to connecting student musicians for jam sessions and gigs. Open to all students, regardless of background or experience.",http://www.williams.com/,Charles Reed,travis98@garcia.com,"6713 Bennett Points, Boston, MA 02114",Music,True,University of Massachusetts Boston,False,Intermediate
Music Union,"This group is designed to a place for performers, composers, and music lovers. We welcome everyone to contribute their unique perspective.",https://www.wood-chen.com/,James Conrad,qgarcia@knight-marquez.net,"816 Tonya Mountain, Boston, MA 02113",Music,True,Tufts University,True,Intermediate
Thinkers Club,Our club encourages students to connecting student musicians for jam sessions and gigs. Join us weekly as we grow our shared passion.,https://miller.com/,Darin Jenkins,ogoodman@castillo-nichols.net,"81243 Cynthia Forks, Boston, MA 02116",Music,False,University of Massachusetts Boston,False,Beginner
Crew Alliance,Our club encourages students to promoting live music and original student work. Connect with peers through regular meetups and events.,http://www.stevens-kennedy.com/,Jill Morales,stephenserin@cooper.com,"1887 Michael Squares, Boston, MA 02108",Music,False,Massachusetts Institute of Technology,True,Intermediate
Music League,"This group is designed to a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",http://suarez-shaw.com/,Teresa Hernandez,woodchristopher@ellis-young.com,"8064 Robert Stream, Boston, MA 02116",Music,False,Massachusetts Institute of Technology,False,Advanced
Music Team,"Our mission is to a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",http://king.com/,Austin Bolton,allenashley@williams-gomez.com,"5118 Roy Pass, Boston, MA 02115",Music,True,Boston College,True,Intermediate
Explorers of Music,"Our club encourages students to connecting student musicians for jam sessions and gigs. Open to all students, regardless of background or experience.",https://www.cruz.com/,Michelle Owens,brandon68@contreras.org,"001 Sarah Dale, Boston, MA 02114",Music,True,Boston College,True,Beginner
Music Club,"We aim to a place for performers, composers, and music lovers. Join us weekly as we grow our shared passion.",https://cox.biz/,Brittany Taylor,alicia38@wilson.com,"64945 Christina Wall, Boston, MA 02114",Music,True,Tufts University,True,Advanced
Music Circle,"Be part of a community that promoting live music and original student work. Our discussions are informal, engaging, and open-minded.",https://www.stevenson.com/,Douglas Roberts,qwilliams@wells-pierce.com,"247 Hanson Mount, Boston, MA 02115",Music,False,Harvard,False,Intermediate
Sessions of Music,"Our club encourages students to a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",https://www.newton.com/,Brittany Baker,martin92@carlson-villanueva.com,"9341 James Spurs, Boston, MA 02109",Music,True,Boston University,False,Advanced
Voices Alliance,Join us as we promoting live music and original student work. Connect with peers through regular meetups and events.,http://www.bell.com/,Tiffany James,bennettcarlos@johnston.com,"8376 Gonzalez Freeway, Boston, MA 02108",Music,False,Boston College,False,Intermediate
Exchange Club,We come together to connecting student musicians for jam sessions and gigs. Join us weekly as we grow our shared passion.,https://moore.net/,Mrs. Sara Keller,davidcastillo@bishop.com,"6702 Kyle Union, Boston, MA 02114",Music,False,Tufts University,False,Advanced
Dreamers of Music,"Join us as we promoting live music and original student work. Open to all students, regardless of background or experience.",http://hamilton-brown.com/,Richard Lee,qdodson@anderson-campos.com,"58721 Salazar Extensions, Boston, MA 02109",Music,False,University of Massachusetts Boston,True,Intermediate
Crew of Music,"We aim to a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",https://bailey.com/,Daniel Lopez,brianadkins@hayes-walters.org,"4596 Aguilar Locks, Boston, MA 02215",Music,True,Northeastern,True,Beginner
Roots Union,We come together to promoting live music and original student work. We welcome everyone to contribute their unique perspective.,http://www.lin.com/,Mary Wells,corylozano@mccullough.com,"259 Brooke Motorway, Boston, MA 02116",Music,True,Massachusetts Institute of Technology,False,Beginner
Creators Union,Be part of a community that connecting student musicians for jam sessions and gigs. We welcome everyone to contribute their unique perspective.,http://kelly.com/,Kathleen Bell,willie56@scott-wilson.org,"76802 Wade Tunnel, Boston, MA 02111",Music,True,Harvard,True,Intermediate
Roots of Music,"We aim to connecting student musicians for jam sessions and gigs. Open to all students, regardless of background or experience.",https://www.robinson.com/,Brandi Johnson,rachel07@smith-lawrence.com,"094 Sean Haven, Boston, MA 02108",Music,False,University of Massachusetts Boston,True,Beginner
Music Society,"An opportunity to a place for performers, composers, and music lovers. We aim to build community through tradition and practice.",https://klein-hunt.org/,Kristen Lopez,xbrown@davenport-pollard.com,"5114 Mueller Shores, Boston, MA 02118",Music,False,Boston College,False,Beginner
Innovators of Music,"Be part of a community that a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",https://www.sanchez-cervantes.com/,Kenneth Lawrence,anngill@stephens.net,"706 Marks Junctions, Boston, MA 02215",Music,True,Boston College,False,Intermediate
Dreamers Network,An opportunity to promoting live music and original student work. Connect with peers through regular meetups and events.,http://www.collins-nichols.com/,Danny Mcdonald,moralesrichard@todd.net,"462 Jacob Road, Boston, MA 02111",Music,False,Northeastern,True,Advanced
Innovators Circle,"Join us as we connecting student musicians for jam sessions and gigs. Our discussions are informal, engaging, and open-minded.",http://carlson.org/,Scott Medina,snorton@martinez.com,"957 Scott Groves, Boston, MA 02111",Music,False,Tufts University,False,Advanced
Pulse Network,Join us as we connecting student musicians for jam sessions and gigs. Connect with peers through regular meetups and events.,https://www.jones-rivera.com/,Kristen Berger,smcguire@allen-henry.com,"341 Terri Fall, Boston, MA 02108",Music,False,Tufts University,False,Beginner
Innovators Club,"This group is designed to a place for performers, composers, and music lovers. Join us weekly as we grow our shared passion.",https://dixon.com/,Mercedes Santiago,joshuajennings@martin.com,"27977 Keller Road, Boston, MA 02109",Music,False,Boston College,True,Intermediate
Dreamers Circle,"Be part of a community that a place for performers, composers, and music lovers. Our discussions are informal, engaging, and open-minded.",http://smith.com/,Roy Lucas,xholmes@jones.com,"1092 Teresa Drive, Boston, MA 02115",Music,True,Tufts University,False,Advanced
Innovators Society,"Our club encourages students to a place for performers, composers, and music lovers. We aim to build community through tradition and practice.",http://miller.com/,Brenda Allen,williamespinoza@day.com,"3558 Eddie Cliffs, Boston, MA 02110",Music,False,Boston University,False,Beginner
Crew Collective,Our mission is to connecting student musicians for jam sessions and gigs. We welcome everyone to contribute their unique perspective.,https://barron.com/,Lauren Green,alexandrakrause@wade.com,"59859 Sharon Parkways, Boston, MA 02110",Music,True,Boston College,False,Advanced
Exchange of Music,"Students gather here to connecting student musicians for jam sessions and gigs. Open to all students, regardless of background or experience.",https://evans-george.com/,Charlotte Lee,grossmonica@bell-rasmussen.com,"33878 Daniel Via, Boston, MA 02108",Music,False,Boston University,False,Intermediate
Crew Board,"Our mission is to promoting live music and original student work. Open to all students, regardless of background or experience.",http://www.rivas.com/,Phillip Fuentes,yskinner@hale.com,"544 Sabrina Pike, Boston, MA 02110",Music,False,Boston College,True,Advanced
Music Coalition,"This group is designed to connecting student musicians for jam sessions and gigs. Open to all students, regardless of background or experience.",http://mata.com/,Stephanie Goodwin,howematthew@wheeler.com,"801 Merritt Row, Boston, MA 02110",Music,False,University of Massachusetts Boston,True,Intermediate
Creators Forum,"Students gather here to a place for performers, composers, and music lovers. Our discussions are informal, engaging, and open-minded.",https://moore.com/,Thomas Wilson,gabriel10@thomas.com,"958 Mcgee Isle, Boston, MA 02113",Music,False,Northeastern,True,Beginner
Voices of Music,"Students gather here to a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",https://www.trujillo-gonzalez.com/,Alisha Howard,robertdunn@lee.com,"3208 Patricia Throughway, Boston, MA 02118",Music,True,Harvard,True,Intermediate
Explorers Collective,A space to promoting live music and original student work. We welcome everyone to contribute their unique perspective.,http://www.hernandez.biz/,Bryan Holmes,haleleah@gonzalez.org,"05158 Perry Wall, Boston, MA 02215",Music,False,Boston College,False,Advanced
Dreamers Studio,"An opportunity to promoting live music and original student work. Open to all students, regardless of background or experience.",https://stone.net/,Kevin Martinez,gdunlap@scott.com,"86168 Shelton Haven, Boston, MA 02113",Music,False,Massachusetts Institute of Technology,True,Intermediate
Vibes Club,Be part of a community that promoting live music and original student work. Join us weekly as we grow our shared passion.,http://www.perry.com/,Becky Fernandez,sandyaguilar@perez.org,"319 Bethany Road, Boston, MA 02109",Music,True,University of Massachusetts Boston,True,Intermediate
Vibes of Music,"Our mission is to connecting student musicians for jam sessions and gigs. Open to all students, regardless of background or experience.",https://hayes-sanchez.com/,Alexandra Reeves,ebony49@koch.org,"10092 Ruben Dale, Boston, MA 02215",Music,False,Boston College,True,Intermediate
Creators Club,This group is designed to promoting live music and original student work. Join us weekly as we grow our shared passion.,http://www.carter.info/,Michael Boone,joseph43@harris-quinn.com,"6940 Shelly Ridges, Boston, MA 02109",Music,False,University of Massachusetts Boston,False,Beginner
Music Alliance,"We come together to a place for performers, composers, and music lovers. Connect with peers through regular meetups and events.",https://fischer.com/,Dustin Hoffman,williamsjason@chang-gregory.com,"224 Mccullough Points, Boston, MA 02109",Music,True,Boston University,False,Advanced
Creators Society,"Students gather here to a place for performers, composers, and music lovers. We aim to build community through tradition and practice.",https://butler.com/,Amber Davila,lauren02@dunn.info,"33099 Meyer Points, Boston, MA 02115",Music,True,Massachusetts Institute of Technology,True,Advanced
Movement of Music,"A space to a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",https://www.brown.com/,Charles Johnson,diazglenn@randolph-hernandez.info,"1269 Simmons Crescent, Boston, MA 02116",Music,False,Tufts University,True,Advanced
Music Forum,"An opportunity to a place for performers, composers, and music lovers. Our discussions are informal, engaging, and open-minded.",https://www.zhang.com/,Donna Carr,scottkaitlin@smith-jordan.net,"54672 William Isle, Boston, MA 02116",Music,True,Boston University,False,Advanced
Music Studio,"A space to promoting live music and original student work. Open to all students, regardless of background or experience.",http://gay.com/,Joanna West,kellymcfarland@carrillo.com,"80214 Shepherd Shore, Boston, MA 02109",Music,False,Northeastern,True,Intermediate
Voices Board,"Join us as we connecting student musicians for jam sessions and gigs. Open to all students, regardless of background or experience.",http://www.garza-gardner.com/,Julie Smith,msmith@lambert-walls.info,"91482 Donna Circles, Boston, MA 02215",Music,True,Northeastern,False,Beginner
Innovators Union,An opportunity to connecting student musicians for jam sessions and gigs. We welcome everyone to contribute their unique perspective.,http://www.hill.com/,Latoya Alexander,andrew35@jackson.com,"20866 Gillespie Forge, Boston, MA 02215",Music,False,University of Massachusetts Boston,False,Intermediate
Builders of Music,"This group is designed to promoting live music and original student work. Open to all students, regardless of background or experience.",https://www.pope-lambert.net/,Amy Cunningham,bryan70@stewart-scott.com,"7960 Young Forks, Boston, MA 02114",Music,True,Harvard,False,Advanced
Music Collective,We aim to promoting live music and original student work. We welcome everyone to contribute their unique perspective.,https://www.kaiser-sims.biz/,Heather Jacobs,nblackwell@larson.com,"11858 Willis Cove, Boston, MA 02110",Music,True,Boston College,True,Beginner
Music Network,This group is designed to promoting live music and original student work. Connect with peers through regular meetups and events.,https://www.nunez-hopkins.com/,Jessica Hall,aprilfleming@green.com,"4895 Melissa Branch, Boston, MA 02109",Music,True,University of Massachusetts Boston,True,Beginner
Minds of Music,"An opportunity to a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",https://walton.com/,James Wood,llee@moore-evans.net,"4794 Linda Land, Boston, MA 02111",Music,False,Harvard,False,Beginner
Minds Board,"We come together to a place for performers, composers, and music lovers. Open to all students, regardless of background or experience.",https://www.morris-mills.com/,Tamara Stewart,dwayneshelton@vasquez-case.com,"83122 Pierce Knoll, Boston, MA 02113",Music,False,University of Massachusetts Boston,False,Intermediate
Music Initiative,"We come together to promoting live music and original student work. Open to all students, regardless of background or experience.",https://www.bauer-davis.biz/,Anthony Fox,fsoto@hopkins.com,"452 Moore Creek, Boston, MA 02118",Music,False,Northeastern,False,Intermediate
Vibes Society,This group is designed to a home for dramatic expression and live performance. We aim to build community through tradition and practice.,https://woodard.com/,Vanessa Morris,jeffreysalazar@jackson.com,"13817 Micheal Vista, Boston, MA 02108",Theater,False,Massachusetts Institute of Technology,True,Intermediate
Vibes Forum,"We aim to student-led productions of classic and modern plays. Our discussions are informal, engaging, and open-minded.",http://www.rose-price.com/,Michael Lynch,matthew08@singleton-russell.biz,"1069 Johnson Ridge, Boston, MA 02114",Theater,False,Boston University,False,Beginner
Innovators Initiative,"A space to student-led productions of classic and modern plays. Open to all students, regardless of background or experience.",http://www.jenkins.com/,Wendy Gray,mcmillantara@davis-gill.org,"179 Huff Brooks, Boston, MA 02116",Theater,True,Boston University,False,Advanced
Builders Union,"Join us as we workshops in acting, directing, and stage management. We welcome everyone to contribute their unique perspective.",http://www.terry-solomon.biz/,Patricia Reyes,lindafleming@owens-perry.biz,"9520 Kennedy Branch, Boston, MA 02108",Theater,False,Northeastern,False,Advanced
Theater Team,"Students gather here to a home for dramatic expression and live performance. Open to all students, regardless of background or experience.",https://wade-wallace.com/,Richard Graves,englishronald@becker.com,"242 Collins Locks, Boston, MA 02108",Theater,True,Massachusetts Institute of Technology,True,Advanced
Crew of Theater,"Students gather here to student-led productions of classic and modern plays. Open to all students, regardless of background or experience.",https://www.gregory.com/,Jeremy Ortega,woodsbrooke@smith-jacobs.org,"52573 Lisa Crossing, Boston, MA 02116",Theater,True,Boston College,True,Intermediate
Thinkers of Theater,"A space to a home for dramatic expression and live performance. Open to all students, regardless of background or experience.",https://fletcher.com/,Charles Nelson,carterjimmy@moore.com,"92680 Freeman River, Boston, MA 02215",Theater,False,Tufts University,True,Intermediate
Innovators League,"Our mission is to a home for dramatic expression and live performance. Open to all students, regardless of background or experience.",http://www.singh-davis.info/,Stephanie Carlson,qadams@goodman.org,"819 Brian Expressway, Boston, MA 02110",Theater,False,Tufts University,True,Beginner
Explorers Forum,"An opportunity to student-led productions of classic and modern plays. Our discussions are informal, engaging, and open-minded.",https://www.wilkins.biz/,Cheryl Flores,jennifer40@kramer.org,"93623 Martin Station, Boston, MA 02114",Theater,True,Boston College,True,Beginner
Theater Guild,"We come together to student-led productions of classic and modern plays. Open to all students, regardless of background or experience.",http://www.hayes-holt.com/,Eduardo Morales,nathan54@kim.com,"196 April Ridges, Boston, MA 02114",Theater,True,Tufts University,True,Beginner
Roots Board,"We come together to a home for dramatic expression and live performance. Open to all students, regardless of background or experience.",https://serrano-gonzales.biz/,Timothy Castro,alicialopez@wilson.com,"27335 Ryan Avenue, Boston, MA 02108",Theater,False,Tufts University,True,Intermediate
Movement of Theater,"This group is designed to student-led productions of classic and modern plays. Open to all students, regardless of background or experience.",https://moore.com/,Spencer Stafford,fordchristopher@rogers.com,"6532 Thomas Trace, Boston, MA 02118",Theater,True,Boston University,True,Advanced
Vibes of Theater,"Our club encourages students to workshops in acting, directing, and stage management. Open to all students, regardless of background or experience.",https://warren.com/,Cory Davis MD,zle@butler-clements.com,"570 Johnson Valley, Boston, MA 02109",Theater,True,Tufts University,False,Intermediate
Roots Team,"Be part of a community that workshops in acting, directing, and stage management. Open to all students, regardless of background or experience.",https://welch.org/,Johnny Burke,tiffany77@ward.biz,"4200 Joel Mountain, Boston, MA 02108",Theater,True,Boston College,False,Advanced
Voices of Theater,"Be part of a community that a home for dramatic expression and live performance. Open to all students, regardless of background or experience.",http://www.johnson.info/,Nicholas Rogers,tayloralexandra@taylor-williamson.net,"658 Michael Trafficway, Boston, MA 02116",Theater,False,Massachusetts Institute of Technology,True,Beginner
Crew Circle,"Students gather here to student-led productions of classic and modern plays. Our discussions are informal, engaging, and open-minded.",http://weber.com/,Sierra Smith,elizabeth50@gray.net,"25012 Hayes Keys, Boston, MA 02115",Theater,False,Boston College,False,Intermediate
Roots of Theater,"Join us as we student-led productions of classic and modern plays. Open to all students, regardless of background or experience.",http://www.wood.net/,Sharon Barnett,rossandre@lang.com,"250 Roach Viaduct, Boston, MA 02116",Theater,False,Boston College,False,Advanced
Theater Board,"Our mission is to workshops in acting, directing, and stage management. Open to all students, regardless of background or experience.",https://norton-moore.com/,Latoya Reyes,erik54@fletcher.info,"089 Bean Falls, Boston, MA 02215",Theater,True,Harvard,False,Intermediate
Creators of Theater,"Students gather here to workshops in acting, directing, and stage management. Open to all students, regardless of background or experience.",http://www.dillon-ruiz.com/,Veronica Edwards,ojenkins@petty-ramirez.com,"80006 Watson Harbors, Boston, MA 02114",Theater,False,Massachusetts Institute of Technology,True,Beginner
Innovators of Theater,"Our club encourages students to a home for dramatic expression and live performance. Open to all students, regardless of background or experience.",http://jones-mccarthy.info/,Stephanie Flores,amber78@bradford-gibbs.org,"709 Juan Forks, Boston, MA 02108",Theater,False,Tufts University,True,Advanced
Dreamers League,"We come together to workshops in acting, directing, and stage management. Open to all students, regardless of background or experience.",http://www.walker.com/,Stephanie Garza,robertssamantha@hoover-stanton.info,"422 Sandoval Ports, Boston, MA 02215",Theater,True,Massachusetts Institute of Technology,False,Intermediate
